time_from_start,request_per_seconds_avg,cpu_perc,replicas_no
10,1.0076152421804352,30,1
20,1.0304586490452152,30,1
30,1.068523262271306,30,1
40,1.1217974870087914,30,1
50,1.1902650954127196,30,1
60,1.2739052315863333,30,1
70,1.372692417933898,30,1
80,1.4865965629214841,30,1
90,1.6155829702431177,30,1
100,1.7596123493895985,30,1
110,1.9186408276167983,30,1
120,2.0926199633097156,30,1
130,2.281496760738243,30,1
140,2.4852136862001757,30,1
150,2.7037086855465873,30,1
160,2.9369152030840553,30,1
170,3.18476220184823,30,1
180,3.447174185242325,30,1
190,3.7240712200341552,50,1
200,4.015368960704585,50,1
210,4.320978675139912,50,1
220,4.640807271660634,50,1
230,4.974757327377979,50,1
240,5.32272711786996,50,1
250,5.6846106481675065,70,1
260,6.060297685041661,70,1
270,6.449673790581613,70,1
280,6.852620357053652,70,1
290,7.269014643030211,70,1
300,7.698729810778063,70,1
310,8.141634964894386,55,2
320,8.597595192178701,55,2
330,9.06647160272879,55,2
340,9.54812137224792,55,2
350,10.04239778555042,55,2
360,10.549150281252636,55,2
370,11.068224497635356,50,3
380,11.599462319663907,50,3
390,12.142701927151455,50,3
400,12.697777844051103,50,3
410,13.264520988861399,50,3
420,13.842758726130292,50,3
430,14.432314919041474,63,3
440,15.033009983067451,63,3
450,15.644660940672631,63,3
460,16.267081477050134,63,3
470,16.90008199687508,63,3
480,17.543469682057086,63,3
490,18.19704855047464,57,4
500,18.86061951567303,57,4
510,19.533980447508135,57,4
520,20.216926233717086,57,4
530,20.9092488423976,57,4
540,21.61073738537635,57,4
550,22.321178182447692,58,5
560,23.040354826462664,58,5
570,23.76804824924866,58,5
580,24.50403678833976,58,5
590,25.248096254497288,58,5
600,25.99999999999999,58,5
610,26.75951898768315,55,6
620,27.526421860705472,55,6
630,28.300475013022663,55,6
640,29.081442660546124,55,6
650,29.869086912965034,55,6
660,30.663167846209983,55,6
670,31.46344357553631,54,7
680,32.26967032920441,54,7
690,33.081602522735,54,7
700,33.89899283371656,54,7
710,34.721592277142165,54,7
720,35.549150281252636,54,7
730,36.38141476386317,62,7
740,37.218132209150035,62,7
750,38.059047744873965,62,7
760,38.903905220016625,62,7
770,39.752447282806756,62,7
780,40.60441545911203,62,7
790,41.459550231172756,56,9
800,42.31759111665349,56,9
810,43.17827674798845,56,9
820,44.041344951996734,56,9
830,44.90653282974263,56,9
840,45.77357683661733,56,9
850,46.642212862617086,50,11
860,47.512176312793734,50,11
870,48.38320218785281,50,11
880,49.255025164874965,50,11
890,50.127379678135824,50,11
900,51.0,50,11
910,51.87262032186418,54,11
920,52.74497483512506,54,11
930,53.61679781214718,54,11
940,54.48782368720627,54,11
950,55.35778713738291,54,11
960,56.22642316338268,54,11
970,57.09346717025738,57,11
980,57.95865504800327,57,11
990,58.821723252011545,57,11
1000,59.68240888334651,57,11
1010,60.54044976882724,57,11
1020,61.39558454088798,57,11
1030,62.24755271719326,53,13
1040,63.09609477998338,53,13
1050,63.94095225512604,53,13
1060,64.78186779084996,53,13
1070,65.61858523613685,53,13
1080,66.45084971874738,53,13
1090,67.27840772285784,56,13
1100,68.10100716628344,56,13
1110,68.91839747726502,56,13
1120,69.7303296707956,56,13
1130,70.53655642446368,56,13
1140,71.33683215379003,56,13
1150,72.13091308703497,52,15
1160,72.91855733945386,52,15
1170,73.69952498697734,52,15
1180,74.47357813929455,52,15
1190,75.24048101231685,52,15
1200,76.0,52,15
1210,76.75190374550272,55,15
1220,77.49596321166024,55,15
1230,78.23195175075134,55,15
1240,78.95964517353734,55,15
1250,79.67882181755232,55,15
1260,80.38926261462366,55,15
1270,81.09075115760241,51,17
1280,81.78307376628291,51,17
1290,82.46601955249187,51,17
1300,83.13938048432698,51,17
1310,83.80295144952537,51,17
1320,84.4565303179429,51,17
1330,85.09991800312493,54,17
1340,85.73291852294986,54,17
1350,86.35533905932738,54,17
1360,86.96699001693256,54,17
1370,87.56768508095853,54,17
1380,88.15724127386972,54,17
1390,88.73547901113861,54,17
1400,89.3022221559489,54,17
1410,89.85729807284855,54,17
1420,90.4005376803361,54,17
1430,90.93177550236464,54,17
1440,91.45084971874738,54,17
1450,91.9576022144496,56,17
1460,92.45187862775208,56,17
1470,92.9335283972712,56,17
1480,93.4024048078213,56,17
1490,93.85836503510562,56,17
1500,94.30127018922194,56,17
1510,94.7309853569698,48,20
1520,95.14737964294635,48,20
1530,95.55032620941837,48,20
1540,95.93970231495837,48,20
1550,96.3153893518325,48,20
1560,96.67727288213004,48,20
1570,97.02524267262203,51,20
1580,97.35919272833937,51,20
1590,97.67902132486009,51,20
1600,97.98463103929541,51,20
1610,98.27592877996584,51,20
1620,98.55282581475767,51,20
1630,98.81523779815178,52,20
1640,99.06308479691594,52,20
1650,99.2962913144534,52,20
1660,99.51478631379982,52,20
1670,99.71850323926176,52,20
1680,99.90738003669028,52,20
1690,100.0813591723832,52,20
1700,100.2403876506104,52,20
1710,100.38441702975689,52,20
1720,100.51340343707854,52,20
1730,100.6273075820661,52,20
1740,100.72609476841367,52,20
1750,100.80973490458729,52,20
1760,100.87820251299121,52,20
1770,100.9314767377287,52,20
1780,100.96954135095478,52,20
1790,100.99238475781956,52,20
1800,101.0,52,20
1810,100.99238475781956,50,20
1820,100.96954135095478,50,20
1830,100.9314767377287,50,20
1840,100.87820251299121,50,20
1850,100.80973490458729,50,20
1860,100.72609476841367,50,20
1870,100.6273075820661,50,20
1880,100.51340343707854,50,20
1890,100.38441702975689,50,20
1900,100.2403876506104,50,20
1910,100.0813591723832,50,20
1920,99.90738003669028,50,20
1930,99.71850323926176,50,20
1940,99.51478631379982,50,20
1950,99.2962913144534,50,20
1960,99.06308479691594,50,20
