time_from_start,request_per_seconds_avg,cpu_perc,replicas_no
3600,1.0,20,1
3610,1.0076152421804352,20,1
3620,1.0304586490452152,20,1
3630,1.068523262271306,20,1
3640,1.1217974870087914,20,1
3650,1.1902650954127196,20,1
3660,1.2739052315863333,20,1
3670,1.372692417933898,20,1
3680,1.4865965629214841,20,1
3690,1.6155829702431177,20,1
3700,1.7596123493895985,20,1
3710,1.9186408276167983,20,1
3720,2.0926199633097156,20,1
3730,2.281496760738243,30,1
3740,2.4852136862001757,30,1
3750,2.7037086855465873,30,1
3760,2.9369152030840553,30,1
3770,3.18476220184823,30,1
3780,3.447174185242325,30,1
3790,3.7240712200341552,50,1
3800,4.015368960704585,50,1
3810,4.320978675139912,50,1
3820,4.640807271660634,50,1
3830,4.974757327377979,50,1
3840,5.32272711786996,50,1
3850,5.6846106481675065,70,1
3860,6.060297685041661,70,1
3870,6.449673790581613,70,1
3880,6.852620357053652,70,1
3890,7.269014643030211,70,1
3900,7.698729810778063,70,1
3910,8.141634964894386,50,2
3920,8.597595192178701,50,2
3930,9.06647160272879,50,2
3940,9.54812137224792,50,2
3950,10.04239778555042,50,2
3960,10.549150281252636,50,2
3970,11.068224497635356,65,2
3980,11.599462319663907,65,2
3990,12.142701927151455,65,2
4000,12.697777844051103,65,2
4010,13.264520988861399,65,2
4020,13.842758726130292,65,2
4030,14.432314919041474,60,3
4040,15.033009983067451,60,3
4050,15.644660940672631,60,3
4060,16.267081477050134,60,3
4070,16.90008199687508,60,3
4080,17.543469682057086,60,3
4090,18.19704855047464,55,4
4100,18.86061951567303,55,4
4110,19.533980447508135,55,4
4120,20.216926233717086,55,4
4130,20.9092488423976,55,4
4140,21.61073738537635,55,4
4150,22.321178182447692,58,5
4160,23.040354826462664,58,5
4170,23.76804824924866,58,5
4180,24.50403678833976,58,5
4190,25.248096254497288,58,5
4200,25.99999999999999,58,5
4210,26.75951898768315,55,6
4220,27.526421860705472,55,6
4230,28.300475013022663,55,6
4240,29.081442660546124,55,6
4250,29.869086912965034,55,6
4260,30.663167846209983,55,6
4270,31.46344357553631,57,7
4280,32.26967032920441,57,7
4290,33.081602522735,57,7
4300,33.89899283371656,57,7
4310,34.721592277142165,57,7
4320,35.549150281252636,57,7
4330,36.38141476386317,55,8
4340,37.218132209150035,55,8
4350,38.059047744873965,55,8
4360,38.903905220016625,55,8
4370,39.752447282806756,55,8
4380,40.60441545911203,55,8
4390,41.459550231172756,56,9
4400,42.31759111665349,56,9
4410,43.17827674798845,56,9
4420,44.041344951996734,56,9
4430,44.90653282974263,56,9
4440,45.77357683661733,56,9
4450,46.642212862617086,50,11
4460,47.512176312793734,50,11
4470,48.38320218785281,50,11
4480,49.255025164874965,50,11
4490,50.127379678135824,50,11
4500,51.0,50,11
4510,51.87262032186418,56,11
4520,52.74497483512506,56,11
4530,53.61679781214718,56,11
4540,54.48782368720627,56,11
4550,55.35778713738291,56,11
4560,56.22642316338268,56,11
4570,57.09346717025738,50,13
4580,57.95865504800327,50,13
4590,58.821723252011545,50,13
4600,59.68240888334651,50,13
4610,60.54044976882724,50,13
4620,61.39558454088798,50,13
4630,62.24755271719326,53,13
4640,63.09609477998338,53,13
4650,63.94095225512604,53,13
4660,64.78186779084996,53,13
4670,65.61858523613685,53,13
4680,66.45084971874738,53,13
4690,67.27840772285784,57,13
4700,68.10100716628344,57,13
4710,68.91839747726502,57,13
4720,69.7303296707956,57,13
4730,70.53655642446368,57,13
4740,71.33683215379003,57,13
4750,72.13091308703497,53,15
4760,72.91855733945386,53,15
4770,73.69952498697734,53,15
4780,74.47357813929455,53,15
4790,75.24048101231685,53,15
4800,76.0,53,15
4810,76.75190374550272,55,15
4820,77.49596321166024,55,15
4830,78.23195175075134,55,15
4840,78.95964517353734,55,15
4850,79.67882181755232,55,15
4860,80.38926261462366,55,15
4870,81.09075115760241,51,17
4880,81.78307376628291,51,17
4890,82.46601955249187,51,17
4900,83.13938048432698,51,17
4910,83.80295144952537,51,17
4920,84.4565303179429,51,17
4930,85.09991800312493,53,17
4940,85.73291852294986,53,17
4950,86.35533905932738,53,17
4960,86.96699001693256,53,17
4970,87.56768508095853,53,17
4980,88.15724127386972,53,17
4990,88.73547901113861,55,17
5000,89.3022221559489,55,17
5010,89.85729807284855,55,17
5020,90.4005376803361,55,17
5030,90.93177550236464,55,17
5040,91.45084971874738,55,17
5050,91.9576022144496,50,19
5060,92.45187862775208,50,19
5070,92.9335283972712,50,19
5080,93.4024048078213,50,19
5090,93.85836503510562,50,19
5100,94.30127018922194,50,19
5110,94.7309853569698,50,19
5120,95.14737964294635,50,19
5130,95.55032620941837,50,19
5140,95.93970231495837,50,19
5150,96.3153893518325,50,19
5160,96.67727288213004,50,19
5170,97.02524267262203,52,19
5180,97.35919272833937,52,19
5190,97.67902132486009,52,19
5200,97.98463103929541,52,19
5210,98.27592877996584,52,19
5220,98.55282581475767,52,19
5230,98.81523779815178,54,19
5240,99.06308479691594,54,19
5250,99.2962913144534,54,19
5260,99.51478631379982,54,19
5270,99.71850323926176,54,19
5280,99.90738003669028,54,19
5290,100.0813591723832,54,19
5300,100.2403876506104,54,19
5310,100.38441702975689,54,19
5320,100.51340343707854,54,19
5330,100.6273075820661,54,19
5340,100.72609476841367,54,19
5350,100.80973490458729,54,19
5360,100.87820251299121,54,19
5370,100.9314767377287,54,19
5380,100.96954135095478,54,19
